"id","game","event_type","created_at","team_name","player_name","related_player_name","result","minute","extra_minute","previous_player_event","previous_player_event_at","seconds_after_previous_event","player_id","related_player_id","participant_id","fixture_id"
116520002,Spain vs Georgia (2024-06-30),Goal,2024-06-30 21:18:00.000,Georgia,Robin Le Normand,Otar Kakabadze,"0-1",18,0,,,,100580,84624,18692,19032607
116521845,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 22:18:00.000,Georgia,Budu Zivzivadze,G. Mikautadze,,78,0,,,,84625,13963088,18692,19032607
116521999,Spain vs Georgia (2024-06-30),Goal,2024-06-30 22:23:00.000,Spain,Dani Olmo,Mikel Oyarzabal,"4-1",83,0,Substitution,2024-06-30 21:52:00.000,1860.0,74060,186932,18710,19032607
116521236,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 21:52:00.000,Spain,Dani Olmo,Pedri,,52,0,,,,74060,37288001,18710,19032607
116521841,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 22:18:00.000,Georgia,Nika Kvekveskiri,G. Gvelesiani,,78,0,,,,56315,103247,18692,19032607
116521929,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 22:21:00.000,Spain,Mikel Merino,Fabián Ruiz,,81,0,,,,32710,186735,18710,19032607
116521943,Spain vs Georgia (2024-06-30),Substitution,2024-06-30 22:21:00.000,Spain,Jesús Navas ,Daniel Carvajal,,81,0,,,,1435,31647,18710,19032607
116409458,Ukraine vs Belgium (2024-06-26),Substitution,2024-06-26 19:17:00.000,Belgium,Johan Bakayoko,J. Doku,,77,0,,,,37400407,23697990,18743,19032639
116409192,Ukraine vs Belgium (2024-06-26),Substitution,2024-06-26 19:10:00.000,Ukraine,Vladyslav Vanat,M. Shaparenko,,70,0,,,,24065263,205964,18624,19032639
116409678,Ukraine vs Belgium (2024-06-26),Substitution,2024-06-26 19:30:00.000,Belgium,Loïs Openda,R. Lukaku,,90,0,,,,539993,995,18743,19032639
116409023,Ukraine vs Belgium (2024-06-26),Substitution,2024-06-26 19:02:00.000,Belgium,Orel Mangala,Y. Tielemans,,62,0,,,,523939,62342,18743,19032639
116409151,Ukraine vs Belgium (2024-06-26),Yellowcard,2024-06-26 19:09:00.000,Ukraine,Artem Dovbyk,,,69,0,,,,205978,,18624,19032639
116409527,Ukraine vs Belgium (2024-06-26),Substitution,2024-06-26 19:21:00.000,Ukraine,Andriy Yarmolenko,O. Svatok,,81,0,,,,204697,205651,18624,19032639
116409189,Ukraine vs Belgium (2024-06-26),Substitution,2024-06-26 19:10:00.000,Ukraine,Taras Stepanenko,V. Brazhko,,70,0,,,,204483,24065258,18624,19032639
116409022,Ukraine vs Belgium (2024-06-26),Substitution,2024-06-26 19:02:00.000,Belgium,Yannick Carrasco,L. Trossard,,62,0,,,,96092,61780,18743,19032639
116409188,Ukraine vs Belgium (2024-06-26),Substitution,2024-06-26 19:10:00.000,Ukraine,Ruslan Malinovskyi,R. Yaremchuk,,70,0,,,,62872,205933,18624,19032639
116406532,Ukraine vs Belgium (2024-06-26),Yellowcard,2024-06-26 18:43:00.000,Belgium,Wout Faes,,,43,0,,,,26955,,18743,19032639
116408943,Ukraine vs Belgium (2024-06-26),Substitution,2024-06-26 18:58:00.000,Ukraine,Oleksandr Zinchenko,V. Mykolenko,,58,0,,,,26603,537271,18624,19032639
116148144,Italy vs Albania (2024-06-15),Substitution,2024-06-15 22:17:00.000,Italy,Andrea Cambiaso,Federico Chiesa,,77,0,,,,37260234,129836,18658,19032617
116147621,Italy vs Albania (2024-06-15),Yellowcard,2024-06-15 21:51:00.000,Albania,Armando Broja,,,51,0,,,,23697427,,18641,19032617
116147622,Italy vs Albania (2024-06-15),Yellowcard,2024-06-15 21:51:00.000,Italy,Riccardo Calafiori,,,51,0,,,,23278684,,18658,19032617
116148393,Italy vs Albania (2024-06-15),Substitution,2024-06-15 22:27:00.000,Albania,Ernest Muci,Nedim Bajrami,,87,0,,,,10966299,198736,18641,19032617
116148310,Italy vs Albania (2024-06-15),Substitution,2024-06-15 22:23:00.000,Italy,Mateo Retegui,Gianluca Scamacca,,83,0,,,,9302266,30178,18658,19032617
