,Model,Location,Miles,Prices,Year,Scraped_On,Dealership
384, Mazda 3 s hatchback,"Florence, KY",165000.0,"$3,900",2005,2024-07-01,False
385, Kia optima LX Sedan 4D,"Hamilton, OH",107000.0,"$8,500",2013,2024-07-01,False
386, Honda accord EX Sedan 4D,"Cincinnati, OH",160000.0,"$5,500",2010,2024-07-01,False
387, Ford taurus SE Sedan 4D,"Cincinnati, OH",137000.0,"$4,500",2013,2024-07-01,False
388, Honda insight EX Sedan 4D,"Cincinnati, OH",88000.0,"$2,600",2019,2024-07-01,False
389, Honda accord EX Sedan 4D,"Cincinnati, OH",134000.0,"$4,850",2006,2024-07-01,False
390, Chevrolet malibu LS Sedan 4D,"Cincinnati, OH",185000.0,"$5,800",2016,2024-07-01,False
391, Nissan altima 3.5 SE Sedan 4D,"Loveland, OH",126000.0,"$4,400",2009,2024-07-01,False
392, Chevrolet equinox,"Cincinnati, OH",92000.0,"$6,000",2018,2024-07-01,False
393, Hyundai genesis coupe 2.0T Coupe 2D,"Scottsburg, IN",120000.0,"$7,500",2011,2024-07-01,False
395, Audi a5 3.2 Quattro Coupe 2D,"Fort Mitchell, KY",107000.0,"$5,250",2009,2024-07-01,False
396, Kia soul + Wagon 4D,"Amelia, OH",246000.0,"$1,600",2012,2024-07-01,False
397, Nissan maxima S Sedan 4D,"Erlanger, KY",250000.0,"$3,000",2014,2024-07-01,False
398, Mazda mx-5 miata Convertible 2D,"Cincinnati, OH",150000.0,"$4,000",1995,2024-07-01,False
399, Ford focus S Sedan 4D,"Latonia, KY",172000.0,"$2,000",2014,2024-07-01,False
400, Subaru svx Sport Coupe 2D,"Latonia, KY",105000.0,$800,1992,2024-07-01,False
401, Honda civic DX Coupe 2D,"Crestwood, KY",93000.0,"$4,000",2002,2024-07-01,False
402, Toyota c-hr LE Sport Utility 4D,"Cincinnati, OH",82000.0,$500,2021,2024-07-01,False
403, Volkswagen eos lux,"Dayton, OH",117000.0,"$2,295",2007,2024-07-01,False
404, Ford fiesta SE Sedan 4D,"Batavia, OH",270000.0,"$1,234",2011,2024-07-01,False
405, MINI Cooper S Hatchback 2D,"Cincinnati, OH",108000.0,"$7,995",2013,2024-07-01,True
406, Hyundai azera GLS Sedan 4D,"Prospect, KY",121000.0,"$3,000",2009,2024-07-01,False
407, Mercedes-Benz c-class C 300 4MATIC Luxury Sedan 4D,"Cincinnati, OH",142000.0,"$6,400",2012,2024-07-01,False
408, Kia soul + Wagon 4D,"Cincinnati, OH",156000.0,"$5,400",2014,2024-07-01,False
409, Nissan maxima,"Cincinnati, OH",90000.0,"$16,493",2019,2024-07-01,False
410, Ford f150 regular cab Long Bed,"Cincinnati, OH",177000.0,"$5,500",1995,2024-07-01,False
411, BMW 328i convertible,"Springfield, OH",81000.0,"$7,500",2008,2024-07-01,False
412, Chevrolet cruze LT Sedan 4D,"Walton, KY",173000.0,"$4,500",2011,2024-07-01,False
413, Audi q7 3.0T Premium Plus Sport Utility 4D,"Covington, KY",117000.0,"$2,500",2015,2024-07-01,False
414, Nissan altima,"Cincinnati, OH",,"$4,995",2008,2024-07-01,False
415, Acura tl SH-AWD Sedan 4D,"Cincinnati, OH",143000.0,"$6,800",2013,2024-07-01,False
416, Ford explorer,"Lexington, KY",165000.0,"$9,800",2016,2024-07-01,False
417, BMW x3 xDrive28i Sport Utility 4D,"Cincinnati, OH",108000.0,"$11,995",2016,2024-07-01,False
418, Ford focus SE Sedan 4D,"Amelia, OH",150000.0,"$3,300",2015,2024-07-01,False
419, Honda civic LX Sedan 4D,"Cincinnati, OH",190000.0,"$3,650",2005,2024-07-01,False
420, Ford fusion SE Sedan 4D,"Waverly, OH",122000.0,"$4,750",2010,2024-07-01,False
421, Honda accord DX Sedan 4D,"Walton, KY",138000.0,"$1,600",1983,2024-07-01,False
