,Unnamed: 0,Model,Location,Miles,Prices,Year,Dealership,Manufacturer,Model_name,Mileage_Category
124,124,Volkswagen jetta 2.0L Base Sedan 4D,"Cincinnati, OH",137000.0,1234,2014,False,Volkswagen,jetta 2.0L Base Sedan 4D,100k-150k
125,125,Jetta volkswagen sport,"Cincinnati, OH",159000.0,4500,2011,False,Volkswagen,volkswagen sport,Over 150k
126,126,Kia optima LX Sedan 4D,"Lexington, KY",155000.0,5500,2014,False,Kia,optima LX Sedan 4D,Over 150k
127,127,Hyundai sonata,"Cincinnati, OH",81000.0,1500,2015,False,Hyundai,sonata,50k-100k
128,128,Honda accord LX Sedan 4D,"Cincinnati, OH",26000.0,17950,2020,False,Honda,accord LX Sedan 4D,Under 50k
129,129,Volkswagen jetta TDI SportWagen Sport Wagon 4D,"Fort Mitchell, KY",120000.0,5800,2011,False,Volkswagen,jetta TDI SportWagen Sport Wagon 4D,100k-150k
130,130,Nissan versa S Sedan 4D,"Fort Mitchell, KY",159000.0,2700,2010,False,Nissan,versa S Sedan 4D,Over 150k
131,131,Ford focus SE Sedan 4D,"Fairfield, OH",72000.0,4850,2013,False,Ford,focus SE Sedan 4D,50k-100k
132,132,Audi a8 Quattro Sedan 4D,"Covington, KY",95000.0,7900,2008,False,Audi,a8 Quattro Sedan 4D,50k-100k
133,133,Toyota prius,"Erlanger, KY",159000.0,5900,2010,False,Toyota,prius,Over 150k
134,134,Mazda mazda2 Touring Hatchback 4D,"Fairfield, OH",153000.0,4050,2011,False,Mazda,mazda2 Touring Hatchback 4D,Over 150k
135,135,Volkswagen cc Sport Plus Sedan 4D,"Dry Ridge, KY",189000.0,3800,2013,False,Volkswagen,cc Sport Plus Sedan 4D,Over 150k
136,136,Lexus ES 350 Sedan 4D,"Maineville, OH",266000.0,10000,2016,False,Lexus,ES 350 Sedan 4D,Over 150k
137,137,Chrysler 200C Sedan 4D,"Lexington, KY",28000.0,14000,2015,False,Chrysler,200C Sedan 4D,Under 50k
138,138,Acura tl Special Edition Sedan 4D,"Cincinnati, OH",145000.0,5500,2013,False,Acura,tl Special Edition Sedan 4D,100k-150k
139,139,Volkswagen jetta Wolfsburg Edition Sedan 4D,"Alexandria, KY",113000.0,2600,2008,False,Volkswagen,jetta Wolfsburg Edition Sedan 4D,100k-150k
140,140,Chevrolet cruze limited 1LT Sedan 4D,"Dayton, OH",55000.0,6200,2016,False,Chevrolet,cruze limited 1LT Sedan 4D,50k-100k
141,141,Volkswagen new beetle 2.5 Convertible 2D,"Cincinnati, OH",162000.0,4000,2006,False,Volkswagen,new beetle 2.5 Convertible 2D,Over 150k
142,142,Nissan altima sr (down-payment),"Cincinnati, OH",300.0,2000,2024,False,Nissan,altima sr (down-payment),Under 50k
